_unit_id,_golden,_trusted_judgments,_last_judgment_at,opinion_toward_the_above_topic,opinion_toward_the_above_topic:confidence,opinion_toward_the_above_topic_gold,post_id,thread_id,time,topic,user_id
90477318,FALSE,3,7/27/2011 5:40,For,0.6747,,68,409192893_3440079132001,Tue 08 September 2009 07:41 AM,US_healthcare_reform,RogerCollins
90477319,FALSE,3,7/27/2011 7:36,Not Sure,0.6316,,69,409192893_3440079132001,Tue 08 September 2009 10:31 AM,US_healthcare_reform,rcjarrell
90477320,FALSE,3,7/27/2011 4:15,Not Sure,1,,Post ID,Thread ID,Time,Topic,User ID
90477321,FALSE,3,7/27/2011 7:22,For,0.625,,1,409192893_1200067442001,Sun 14 February 2010 06:22 AM,US_healthcare_reform,SenClaghorn
90477322,FALSE,3,7/27/2011 3:28,Not Sure,1,,2,409192893_1200067442001,Sun 14 February 2010 08:12 AM,US_healthcare_reform,Johnny_B
90477323,FALSE,3,7/27/2011 8:06,Not Sure,1,,3,409192893_1200067442001,Sun 14 February 2010 08:16 AM,US_healthcare_reform,SenClaghorn
90477324,FALSE,3,7/27/2011 7:17,Against,0.6958,,4,409192893_1200067442001,Sun 14 February 2010 08:45 AM,US_healthcare_reform,Fighterpilotmafia
90477325,FALSE,3,7/27/2011 7:15,Not Sure,0.6826,,5,409192893_1200067442001,Sun 14 February 2010 08:59 AM,US_healthcare_reform,SenClaghorn
90477326,FALSE,3,7/27/2011 7:04,Against,1,,6,409192893_1200067442001,Sun 14 February 2010 09:19 AM,US_healthcare_reform,Fighterpilotmafia
90477327,FALSE,4,7/27/2011 5:58,Against,0.7635,,7,409192893_1200067442001,Sun 14 February 2010 09:27 AM,US_healthcare_reform,GRAYMAN
90477328,FALSE,3,7/27/2011 6:59,Not Sure,0.6562,,8,409192893_1200067442001,Sun 14 February 2010 09:28 AM,US_healthcare_reform,SenClaghorn
90477329,FALSE,3,7/27/2011 6:58,For,0.6494,,9,409192893_1200067442001,Sun 14 February 2010 09:37 AM,US_healthcare_reform,RogerCollins
90477330,FALSE,3,7/27/2011 8:15,For,0.6561,,10,409192893_1200067442001,Sun 14 February 2010 09:50 AM,US_healthcare_reform,billbright
90477331,FALSE,3,7/27/2011 1:08,Against,1,,11,409192893_1200067442001,Sun 14 February 2010 10:12 AM,US_healthcare_reform,RogerCollins
90477332,FALSE,3,7/27/2011 8:43,Against,0.3417,,12,409192893_1200067442001,Sun 14 February 2010 10:27 AM,US_healthcare_reform,billbright
90477333,FALSE,3,7/27/2011 6:09,Not Sure,1,,13,409192893_1200067442001,Sun 14 February 2010 11:00 AM,US_healthcare_reform,RogerCollins
90477334,FALSE,4,7/27/2011 6:28,Against,0.5071,,14,409192893_1200067442001,Sun 14 February 2010 12:43 PM,US_healthcare_reform,backtoiraq
90477335,FALSE,3,7/27/2011 7:25,Not Sure,0.6216,,15,409192893_1200067442001,Sun 14 February 2010 01:57 PM,US_healthcare_reform,RogerCollins
90477336,FALSE,3,7/27/2011 7:26,Against,0.6579,,16,409192893_1200067442001,Sun 14 February 2010 02:32 PM,US_healthcare_reform,tawodi
90477337,FALSE,3,7/27/2011 8:08,Against,1,,17,409192893_1200067442001,Sun 14 February 2010 07:18 PM,US_healthcare_reform,Johnny_B
90477338,FALSE,3,7/27/2011 7:40,For,0.6891,,18,409192893_1200067442001,Sun 14 February 2010 07:47 PM,US_healthcare_reform,SenClaghorn
90477339,FALSE,3,7/27/2011 7:19,For,0.7047,,19,409192893_1200067442001,Mon 15 February 2010 12:26 AM,US_healthcare_reform,scooter_mech
90477340,FALSE,3,7/27/2011 6:31,Against,0.7132,,20,409192893_1200067442001,Mon 15 February 2010 04:14 AM,US_healthcare_reform,Kegler300
90477341,FALSE,3,7/27/2011 6:31,Against,0.3462,,21,409192893_1200067442001,Mon 15 February 2010 06:02 AM,US_healthcare_reform,SeaWitch1220
90477342,FALSE,4,7/27/2011 5:48,Against,1,,22,409192893_1200067442001,Mon 15 February 2010 07:08 AM,US_healthcare_reform,Johnny_B
90477343,FALSE,3,7/27/2011 6:22,Not Sure,0.6667,,23,409192893_1200067442001,Mon 15 February 2010 07:27 AM,US_healthcare_reform,RogerCollins
90477344,FALSE,4,7/27/2011 9:00,Against,0.5153,,24,409192893_1200067442001,Mon 15 February 2010 08:43 AM,US_healthcare_reform,SenClaghorn
90477345,FALSE,3,7/27/2011 8:40,Against,0.6353,,25,409192893_1200067442001,Mon 15 February 2010 08:51 AM,US_healthcare_reform,ELLIOTT1980
90477346,FALSE,3,7/27/2011 9:08,For,0.3596,,26,409192893_1200067442001,Mon 15 February 2010 08:57 AM,US_healthcare_reform,EarnestWillUSN
90477347,FALSE,3,7/27/2011 8:43,For,0.3681,,27,409192893_1200067442001,Mon 15 February 2010 08:59 AM,US_healthcare_reform,godawgz
90477348,FALSE,3,7/27/2011 8:06,Against,0.3862,,28,409192893_1200067442001,Mon 15 February 2010 09:01 AM,US_healthcare_reform,ELLIOTT1980
90477351,FALSE,3,7/27/2011 7:33,Against,0.6473,,29,409192893_1200067442001,Mon 15 February 2010 09:07 AM,US_healthcare_reform,godawgz
90477352,FALSE,3,7/27/2011 8:58,For,1,,30,409192893_1200067442001,Mon 15 February 2010 09:08 AM,US_healthcare_reform,EarnestWillUSN
90477353,FALSE,3,7/27/2011 7:16,For,0.6317,,31,409192893_1200067442001,Mon 15 February 2010 09:26 AM,US_healthcare_reform,SenClaghorn
90477354,FALSE,3,7/27/2011 6:31,Not Sure,0.6869,,32,409192893_1200067442001,Mon 15 February 2010 09:29 AM,US_healthcare_reform,ACR26
90477355,FALSE,4,7/27/2011 7:15,Not Sure,0.7255,,33,409192893_1200067442001,Mon 15 February 2010 09:31 AM,US_healthcare_reform,ACR26
90477356,FALSE,3,7/27/2011 7:53,Against,0.6381,,34,409192893_1200067442001,Mon 15 February 2010 09:36 AM,US_healthcare_reform,ELLIOTT1980
90477357,FALSE,3,7/27/2011 8:08,Not Sure,0.6364,,35,409192893_1200067442001,Mon 15 February 2010 09:38 AM,US_healthcare_reform,ELLIOTT1980
90477358,FALSE,3,7/27/2011 8:45,Against,0.6612,,36,409192893_1200067442001,Mon 15 February 2010 09:39 AM,US_healthcare_reform,SenClaghorn
90477359,FALSE,3,7/27/2011 8:50,Against,0.3625,,37,409192893_1200067442001,Mon 15 February 2010 10:22 AM,US_healthcare_reform,Fighterpilotmafia
90477360,FALSE,3,7/27/2011 7:31,Not Sure,0.7075,,38,409192893_1200067442001,Mon 15 February 2010 10:22 AM,US_healthcare_reform,ipw533
90477361,FALSE,3,7/27/2011 7:30,Not Sure,0.7174,,39,409192893_1200067442001,Mon 15 February 2010 10:23 AM,US_healthcare_reform,Fighterpilotmafia
90477362,FALSE,3,7/27/2011 8:47,Not Sure,0.6534,,40,409192893_1200067442001,Mon 15 February 2010 10:24 AM,US_healthcare_reform,Fighterpilotmafia
90477363,FALSE,3,7/27/2011 7:34,Against,1,,41,409192893_1200067442001,Mon 15 February 2010 10:26 AM,US_healthcare_reform,Johnny_B
90477364,FALSE,3,7/27/2011 7:47,Against,0.6296,,42,409192893_1200067442001,Mon 15 February 2010 10:27 AM,US_healthcare_reform,godawgz
90477365,FALSE,3,7/27/2011 8:50,For,0.6438,,43,409192893_1200067442001,Mon 15 February 2010 10:43 AM,US_healthcare_reform,EarnestWillUSN
90477366,FALSE,3,7/27/2011 8:13,Not Sure,1,,44,409192893_1200067442001,Mon 15 February 2010 10:50 AM,US_healthcare_reform,billbright
90477367,FALSE,3,7/27/2011 7:34,Not Sure,0.6188,,45,409192893_1200067442001,Mon 15 February 2010 10:59 AM,US_healthcare_reform,ipw533
90477368,FALSE,3,7/27/2011 7:05,Not Sure,1,,46,409192893_1200067442001,Mon 15 February 2010 11:02 AM,US_healthcare_reform,reducetension
90477369,FALSE,3,7/27/2011 7:30,Not Sure,1,,47,409192893_1200067442001,Mon 15 February 2010 11:11 AM,US_healthcare_reform,ELLIOTT1980
90477370,FALSE,4,7/27/2011 8:10,Not Sure,0.7505,,48,409192893_1200067442001,Mon 15 February 2010 11:25 AM,US_healthcare_reform,ipw533
90477371,FALSE,4,7/27/2011 6:02,For,0.5002,,49,409192893_1200067442001,Mon 15 February 2010 11:47 AM,US_healthcare_reform,EarnestWillUSN
90477372,FALSE,3,7/27/2011 6:27,Not Sure,0.7285,,50,409192893_1200067442001,Mon 15 February 2010 11:49 AM,US_healthcare_reform,EarnestWillUSN
90477373,FALSE,3,7/27/2011 7:36,Not Sure,1,,51,409192893_1200067442001,Mon 15 February 2010 11:53 AM,US_healthcare_reform,10tenths
90477374,FALSE,3,7/27/2011 7:22,Not Sure,1,,52,409192893_1200067442001,Mon 15 February 2010 12:09 PM,US_healthcare_reform,reducetension
90477375,FALSE,4,7/27/2011 9:00,For,0.5088,,53,409192893_1200067442001,Mon 15 February 2010 03:14 PM,US_healthcare_reform,SenClaghorn
90477376,FALSE,3,7/27/2011 8:57,For,1,,54,409192893_1200067442001,Mon 15 February 2010 04:03 PM,US_healthcare_reform,Johnny_B
90477377,FALSE,3,7/27/2011 6:20,Not Sure,1,,55,409192893_1200067442001,Mon 15 February 2010 04:49 PM,US_healthcare_reform,RogerCollins
90477378,FALSE,3,7/27/2011 0:08,Against,0.6466,,56,409192893_1200067442001,Mon 15 February 2010 05:29 PM,US_healthcare_reform,SenClaghorn
90477380,FALSE,3,7/27/2011 7:21,Against,1,,57,409192893_1200067442001,Mon 15 February 2010 06:13 PM,US_healthcare_reform,ipw533
90477381,FALSE,3,7/27/2011 6:05,Not Sure,0.3428,,58,409192893_1200067442001,Mon 15 February 2010 06:49 PM,US_healthcare_reform,SenClaghorn
90477382,FALSE,3,7/27/2011 8:20,Not Sure,0.35,,59,409192893_1200067442001,Mon 15 February 2010 07:10 PM,US_healthcare_reform,EarnestWillUSN
90477383,FALSE,3,7/27/2011 6:00,Against,1,,60,409192893_1200067442001,Mon 15 February 2010 07:18 PM,US_healthcare_reform,Mom2APAJ
90477384,FALSE,3,7/27/2011 7:40,Against,0.6479,,61,409192893_1200067442001,Tue 16 February 2010 12:46 PM,US_healthcare_reform,billbright
90477385,FALSE,3,7/27/2011 7:46,Not Sure,0.6341,,62,409192893_1200067442001,Tue 16 February 2010 12:58 PM,US_healthcare_reform,ipw533
90477386,FALSE,3,7/27/2011 6:32,Not Sure,0.606,,63,409192893_1200067442001,Wed 17 February 2010 03:57 PM,US_healthcare_reform,john2x
90477387,FALSE,3,7/27/2011 3:50,Not Sure,1,,64,409192893_1200067442001,Wed 17 February 2010 04:08 PM,US_healthcare_reform,Fighterpilotmafia
90477388,FALSE,3,7/27/2011 7:29,Against,1,,65,409192893_1200067442001,Wed 17 February 2010 04:09 PM,US_healthcare_reform,godawgz
90477389,FALSE,3,7/27/2011 8:50,Against,0.335,,66,409192893_1200067442001,Wed 17 February 2010 04:17 PM,US_healthcare_reform,john2x
90477390,FALSE,3,7/27/2011 8:03,Not Sure,0.6601,,67,409192893_1200067442001,Wed 17 February 2010 08:01 PM,US_healthcare_reform,ELLIOTT1980
90477391,FALSE,3,7/27/2011 7:29,Not Sure,0.7328,,68,409192893_1200067442001,Thu 18 February 2010 04:45 AM,US_healthcare_reform,godawgz
90477392,FALSE,3,7/27/2011 7:38,Not Sure,0.713,,69,409192893_1200067442001,Thu 18 February 2010 11:56 AM,US_healthcare_reform,ELLIOTT1980
90477393,FALSE,3,7/27/2011 8:57,Not Sure,0.6506,,Post ID,Thread ID,Time,Topic,User ID
90477394,FALSE,3,7/27/2011 3:32,Against,1,,1,409192893_7370029922001,Sat 01 August 2009 06:43 PM,US_healthcare_reform,threerings
90477395,FALSE,3,7/27/2011 8:46,For,0.6239,,2,409192893_7370029922001,Sat 01 August 2009 06:45 PM,US_healthcare_reform,threerings
90477396,FALSE,3,7/27/2011 6:47,For,1,,3,409192893_7370029922001,Sat 01 August 2009 07:02 PM,US_healthcare_reform,Yooper_tj
90477397,FALSE,3,7/27/2011 5:40,Not Sure,0.7122,,4,409192893_7370029922001,Sat 01 August 2009 07:09 PM,US_healthcare_reform,NSNN
90477398,FALSE,3,7/27/2011 7:26,For,1,,5,409192893_7370029922001,Sat 01 August 2009 07:10 PM,US_healthcare_reform,NSNN
90477399,FALSE,3,7/27/2011 3:53,Not Sure,0.6797,,6,409192893_7370029922001,Sat 01 August 2009 07:21 PM,US_healthcare_reform,skinman13
90477400,FALSE,3,7/27/2011 4:14,For,0.679,,7,409192893_7370029922001,Sat 01 August 2009 07:51 PM,US_healthcare_reform,Yooper_tj
90477401,FALSE,3,7/27/2011 7:13,Against,0.6834,,8,409192893_7370029922001,Sat 01 August 2009 09:13 PM,US_healthcare_reform,jdksfcret
90477402,FALSE,3,7/27/2011 7:19,Against,0.3407,,9,409192893_7370029922001,Sun 02 August 2009 05:25 AM,US_healthcare_reform,SeaWitch1220
90477403,FALSE,3,7/27/2011 5:51,Against,0.6388,,10,409192893_7370029922001,Sun 02 August 2009 05:49 AM,US_healthcare_reform,threerings
90477404,FALSE,3,7/27/2011 8:51,For,1,,11,409192893_7370029922001,Sun 02 August 2009 06:55 AM,US_healthcare_reform,SeaWitch1220
90477405,FALSE,3,7/27/2011 7:44,Against,0.6811,,12,409192893_7370029922001,Sun 02 August 2009 07:14 AM,US_healthcare_reform,Boots_
90477406,FALSE,3,7/27/2011 8:24,For,0.7086,,13,409192893_7370029922001,Sun 02 August 2009 07:29 AM,US_healthcare_reform,SeaWitch1220
90477407,FALSE,3,7/27/2011 8:20,Against,0.672,,14,409192893_7370029922001,Sun 02 August 2009 11:39 AM,US_healthcare_reform,threerings
90477408,FALSE,4,7/27/2011 7:02,Not Sure,1,,15,409192893_7370029922001,Sun 02 August 2009 11:56 AM,US_healthcare_reform,SeaWitch1220
90477409,FALSE,3,7/27/2011 5:36,Against,1,,16,409192893_7370029922001,Sun 02 August 2009 12:00 PM,US_healthcare_reform,threerings
90477410,FALSE,3,7/27/2011 4:23,Not Sure,1,,17,409192893_7370029922001,Sun 02 August 2009 12:03 PM,US_healthcare_reform,threerings
90477411,FALSE,3,7/27/2011 8:12,Not Sure,0.5942,,18,409192893_7370029922001,Sun 02 August 2009 12:19 PM,US_healthcare_reform,SeaWitch1220
90477412,FALSE,3,7/27/2011 7:25,Against,0.65,,19,409192893_7370029922001,Sun 02 August 2009 12:28 PM,US_healthcare_reform,SeaWitch1220
90477413,FALSE,3,7/27/2011 8:02,Against,1,,20,409192893_7370029922001,Sun 02 August 2009 12:51 PM,US_healthcare_reform,threerings
90477414,FALSE,3,7/27/2011 6:51,Against,0.6834,,21,409192893_7370029922001,Sun 02 August 2009 12:52 PM,US_healthcare_reform,threerings
90477415,FALSE,3,7/27/2011 7:27,Against,0.6793,,22,409192893_7370029922001,Sun 02 August 2009 03:03 PM,US_healthcare_reform,peter3_1
90477416,FALSE,3,7/27/2011 6:41,Against,0.6727,,23,409192893_7370029922001,Sun 02 August 2009 06:47 PM,US_healthcare_reform,RRR52
90477417,FALSE,3,7/27/2011 7:28,Not Sure,1,,24,409192893_7370029922001,Sun 02 August 2009 07:55 PM,US_healthcare_reform,Yooper_tj
90477418,FALSE,3,7/27/2011 7:55,Against,0.7194,,25,409192893_7370029922001,Tue 04 August 2009 07:55 PM,US_healthcare_reform,RRR52
90477419,FALSE,3,7/27/2011 6:25,Against,0.6371,,26,409192893_7370029922001,Tue 04 August 2009 08:26 PM,US_healthcare_reform,RRR52
90477420,FALSE,3,7/27/2011 7:34,For,0.6364,,27,409192893_7370029922001,Tue 04 August 2009 08:33 PM,US_healthcare_reform,RRR52
90477421,FALSE,3,7/27/2011 7:28,Against,1,,28,409192893_7370029922001,Tue 04 August 2009 08:41 PM,US_healthcare_reform,21796227
90477422,FALSE,3,7/27/2011 3:54,Against,1,,29,409192893_7370029922001,Tue 04 August 2009 08:41 PM,US_healthcare_reform,CYCLIC_RUNAWAY
90477423,FALSE,3,7/27/2011 7:36,Against,0.6014,,30,409192893_7370029922001,Tue 04 August 2009 08:44 PM,US_healthcare_reform,21796227
90477424,FALSE,5,7/27/2011 6:51,Against,0.5586,,31,409192893_7370029922001,Tue 04 August 2009 09:12 PM,US_healthcare_reform,Esample1
90477425,FALSE,3,7/27/2011 7:22,Not Sure,0.6489,,32,409192893_7370029922001,Tue 04 August 2009 09:16 PM,US_healthcare_reform,tawodi
90477426,FALSE,3,7/27/2011 0:53,Against,0.6613,,33,409192893_7370029922001,Tue 04 August 2009 09:23 PM,US_healthcare_reform,tawodi
90477427,FALSE,3,7/27/2011 8:59,For,0.6418,,34,409192893_7370029922001,Tue 04 August 2009 10:03 PM,US_healthcare_reform,Esample1
90477428,FALSE,3,7/27/2011 0:52,For,0.3575,,35,409192893_7370029922001,Wed 05 August 2009 04:59 AM,US_healthcare_reform,SeaWitch1220
90477429,FALSE,3,7/27/2011 8:58,For,0.6574,,36,409192893_7370029922001,Wed 05 August 2009 05:30 AM,US_healthcare_reform,DMarkUhler
90477430,FALSE,3,7/27/2011 7:41,Not Sure,0.6771,,37,409192893_7370029922001,Wed 05 August 2009 05:58 AM,US_healthcare_reform,SeaWitch1220
90477431,FALSE,3,7/27/2011 7:17,Against,1,,38,409192893_7370029922001,Wed 05 August 2009 06:06 AM,US_healthcare_reform,Boilerman_01
90477432,FALSE,3,7/27/2011 8:24,For,1,,39,409192893_7370029922001,Wed 05 August 2009 06:16 AM,US_healthcare_reform,SeaWitch1220
90477433,FALSE,3,7/27/2011 7:42,For,0.6316,,40,409192893_7370029922001,Wed 05 August 2009 06:24 AM,US_healthcare_reform,GunnyRet03
90477434,FALSE,3,7/27/2011 8:03,Against,0.6395,,41,409192893_7370029922001,Wed 05 August 2009 06:57 AM,US_healthcare_reform,Boilerman_01
90477435,FALSE,3,7/27/2011 6:50,For,0.6696,,42,409192893_7370029922001,Wed 05 August 2009 07:40 AM,US_healthcare_reform,stormer73
90477436,FALSE,3,7/27/2011 6:38,For,0.368,,43,409192893_7370029922001,Wed 05 August 2009 07:45 AM,US_healthcare_reform,threerings
90477437,FALSE,3,7/27/2011 6:35,Not Sure,1,,44,409192893_7370029922001,Wed 05 August 2009 12:37 PM,US_healthcare_reform,ACR26
90477438,FALSE,3,7/27/2011 7:18,Against,0.6633,,45,409192893_7370029922001,Wed 05 August 2009 12:38 PM,US_healthcare_reform,ACR26
90477439,FALSE,3,7/27/2011 4:15,Not Sure,1,,46,409192893_7370029922001,Thu 06 August 2009 03:59 AM,US_healthcare_reform,Kegler300
90477440,FALSE,3,7/27/2011 8:46,For,1,,47,409192893_7370029922001,Thu 06 August 2009 04:47 AM,US_healthcare_reform,SeaWitch1220
90477441,FALSE,3,7/27/2011 8:48,Not Sure,0.6438,,48,409192893_7370029922001,Thu 06 August 2009 05:09 AM,US_healthcare_reform,Kegler300
90477442,FALSE,3,7/27/2011 5:59,Against,1,,49,409192893_7370029922001,Thu 06 August 2009 05:12 AM,US_healthcare_reform,GlassOnion
90477443,FALSE,3,7/27/2011 8:51,For,1,,50,409192893_7370029922001,Thu 06 August 2009 05:27 AM,US_healthcare_reform,SeaWitch1220
90477444,FALSE,3,7/27/2011 7:20,Against,1,,51,409192893_7370029922001,Thu 06 August 2009 06:42 AM,US_healthcare_reform,ACR26
90477445,FALSE,3,7/27/2011 4:41,Not Sure,0.6975,,52,409192893_7370029922001,Thu 06 August 2009 02:29 PM,US_healthcare_reform,SeaWitch1220
90477446,FALSE,3,7/27/2011 6:29,Not Sure,1,,53,409192893_7370029922001,Thu 06 August 2009 02:42 PM,US_healthcare_reform,21796227
90477447,FALSE,3,7/27/2011 8:10,Not Sure,1,,54,409192893_7370029922001,Thu 06 August 2009 04:53 PM,US_healthcare_reform,threerings
90477448,FALSE,3,7/27/2011 7:36,Against,1,,55,409192893_7370029922001,Thu 06 August 2009 05:08 PM,US_healthcare_reform,RRR52
90477449,FALSE,3,7/27/2011 8:02,For,0.7075,,56,409192893_7370029922001,Fri 07 August 2009 05:30 AM,US_healthcare_reform,SeaWitch1220
90477450,FALSE,4,7/27/2011 9:01,For,0.5345,,57,409192893_7370029922001,Fri 07 August 2009 06:58 AM,US_healthcare_reform,RRR52
90477451,FALSE,3,7/27/2011 6:30,Against,1,,58,409192893_7370029922001,Fri 07 August 2009 06:59 AM,US_healthcare_reform,L0A1
90477454,FALSE,3,7/27/2011 8:53,Against,0.6545,,59,409192893_7370029922001,Fri 07 August 2009 07:06 AM,US_healthcare_reform,RRR52
90477455,FALSE,3,7/27/2011 8:21,Not Sure,0.6851,,60,409192893_7370029922001,Fri 07 August 2009 07:07 AM,US_healthcare_reform,DMarkUhler
90477456,FALSE,3,7/27/2011 7:14,Not Sure,1,,61,409192893_7370029922001,Fri 07 August 2009 09:03 PM,US_healthcare_reform,tawodi
90477457,FALSE,3,7/27/2011 7:51,Not Sure,1,,Post ID,Thread ID,Time,Topic,User ID
90477458,FALSE,3,7/27/2011 4:57,Against,0.6629,,1,672198221_3750043832001,Thu 19 November 2009 11:43 AM,US_healthcare_reform,I_M_Qwerty
90477459,FALSE,3,7/27/2011 5:46,Against,0.6095,,2,672198221_3750043832001,Thu 19 November 2009 11:45 AM,US_healthcare_reform,psychoABN
90477460,FALSE,3,7/27/2011 8:49,Not Sure,0.6445,,3,672198221_3750043832001,Thu 19 November 2009 11:46 AM,US_healthcare_reform,GunnyRet03
90477461,FALSE,3,7/27/2011 7:05,Not Sure,0.6377,,4,672198221_3750043832001,Thu 19 November 2009 11:49 AM,US_healthcare_reform,SUNLINER81
90477462,FALSE,3,7/27/2011 8:59,Not Sure,0.7297,,5,672198221_3750043832001,Thu 19 November 2009 12:04 PM,US_healthcare_reform,GunnyRet03
90477463,FALSE,3,7/27/2011 7:31,Not Sure,0.65,,6,672198221_3750043832001,Thu 19 November 2009 12:29 PM,US_healthcare_reform,L0A1
90477464,FALSE,3,7/27/2011 8:49,Not Sure,0.6129,,7,672198221_3750043832001,Thu 19 November 2009 12:46 PM,US_healthcare_reform,67NOV
90477465,FALSE,3,7/27/2011 8:47,Not Sure,0.6834,,8,672198221_3750043832001,Thu 19 November 2009 03:38 PM,US_healthcare_reform,Navy_Grunt
90477466,FALSE,3,7/27/2011 7:22,Against,1,,9,672198221_3750043832001,Thu 19 November 2009 03:47 PM,US_healthcare_reform,FriscoLady01
90477467,FALSE,4,7/27/2011 6:47,Not Sure,0.7183,,10,672198221_3750043832001,Thu 19 November 2009 04:01 PM,US_healthcare_reform,SignalSgtWilliams
90477468,FALSE,3,7/27/2011 6:40,Not Sure,0.6364,,11,672198221_3750043832001,Thu 19 November 2009 04:49 PM,US_healthcare_reform,crackerjacks61
90477469,FALSE,3,7/27/2011 4:18,Not Sure,1,,12,672198221_3750043832001,Thu 19 November 2009 04:54 PM,US_healthcare_reform,LineDoggie
90477470,FALSE,3,7/27/2011 5:25,Not Sure,1,,13,672198221_3750043832001,Thu 19 November 2009 04:55 PM,US_healthcare_reform,crackerjacks61
90477471,FALSE,3,7/27/2011 5:30,Not Sure,0.6165,,14,672198221_3750043832001,Thu 19 November 2009 04:56 PM,US_healthcare_reform,crackerjacks61
90477472,FALSE,3,7/27/2011 2:17,Against,1,,15,672198221_3750043832001,Thu 19 November 2009 05:35 PM,US_healthcare_reform,RRR52
90477473,FALSE,3,7/27/2011 7:36,For,0.6428,,16,672198221_3750043832001,Thu 19 November 2009 05:46 PM,US_healthcare_reform,crackerjacks61
90477474,FALSE,3,7/27/2011 7:57,Not Sure,1,,17,672198221_3750043832001,Thu 19 November 2009 06:28 PM,US_healthcare_reform,world_king377
90477475,FALSE,3,7/27/2011 6:57,Not Sure,0.6903,,18,672198221_3750043832001,Fri 20 November 2009 04:06 AM,US_healthcare_reform,Kegler300
90477476,FALSE,3,7/27/2011 8:51,Against,0.6226,,19,672198221_3750043832001,Fri 20 November 2009 05:43 AM,US_healthcare_reform,ssgduke56
90477477,FALSE,3,7/27/2011 7:21,Not Sure,1,,20,672198221_3750043832001,Fri 20 November 2009 05:55 AM,US_healthcare_reform,Woody_in_La
90477478,FALSE,3,7/27/2011 7:31,Not Sure,1,,21,672198221_3750043832001,Fri 20 November 2009 06:17 AM,US_healthcare_reform,ssgduke56
90477479,FALSE,3,7/27/2011 6:57,Not Sure,1,,22,672198221_3750043832001,Fri 20 November 2009 12:19 PM,US_healthcare_reform,6486143
90477480,FALSE,3,7/27/2011 6:59,Against,0.6494,,23,672198221_3750043832001,Fri 20 November 2009 12:27 PM,US_healthcare_reform,Elesso
90477481,FALSE,3,7/27/2011 7:16,Not Sure,0.6482,,24,672198221_3750043832001,Fri 20 November 2009 01:09 PM,US_healthcare_reform,cosmicfish
90477482,FALSE,3,7/27/2011 8:46,Not Sure,0.6522,,25,672198221_3750043832001,Fri 20 November 2009 01:36 PM,US_healthcare_reform,avent42
90477483,FALSE,3,7/27/2011 7:20,Not Sure,0.679,,26,672198221_3750043832001,Fri 20 November 2009 02:34 PM,US_healthcare_reform,TTar
90477484,FALSE,3,7/27/2011 7:40,Not Sure,1,,27,672198221_3750043832001,Fri 20 November 2009 02:41 PM,US_healthcare_reform,I_M_Qwerty
90477485,FALSE,3,7/27/2011 8:07,Against,0.7188,,28,672198221_3750043832001,Fri 20 November 2009 09:27 PM,US_healthcare_reform,RRR52
90477486,FALSE,3,7/27/2011 5:40,Not Sure,1,,29,672198221_3750043832001,Fri 20 November 2009 09:50 PM,US_healthcare_reform,SUNLINER81
90477487,FALSE,3,7/27/2011 8:00,For,1,,30,672198221_3750043832001,Sat 21 November 2009 04:01 AM,US_healthcare_reform,jack_flats
90477488,FALSE,3,7/27/2011 8:56,Against,0.6589,,31,672198221_3750043832001,Sat 21 November 2009 04:11 AM,US_healthcare_reform,Kegler300
90477489,FALSE,3,7/27/2011 1:16,For,0.6929,,32,672198221_3750043832001,Sat 21 November 2009 04:16 AM,US_healthcare_reform,crackerjacks61
90477490,FALSE,3,7/27/2011 6:02,For,1,,33,672198221_3750043832001,Sat 21 November 2009 04:28 AM,US_healthcare_reform,jack_flats
90477491,FALSE,3,7/27/2011 7:27,For,1,,34,672198221_3750043832001,Sat 21 November 2009 04:33 AM,US_healthcare_reform,jack_flats
90477492,FALSE,3,7/27/2011 3:49,Against,0.6694,,35,672198221_3750043832001,Sat 21 November 2009 05:18 AM,US_healthcare_reform,LineDoggie
90477493,FALSE,3,7/27/2011 9:08,Against,1,,36,672198221_3750043832001,Sat 21 November 2009 05:20 AM,US_healthcare_reform,Woody_in_La
90477494,FALSE,3,7/27/2011 7:41,Against,0.6651,,37,672198221_3750043832001,Sat 21 November 2009 05:27 AM,US_healthcare_reform,Woody_in_La
90477495,FALSE,4,7/27/2011 7:08,Against,0.5231,,38,672198221_3750043832001,Sat 21 November 2009 06:01 AM,US_healthcare_reform,NM11AZ
90477496,FALSE,3,7/27/2011 8:48,For,0.6994,,39,672198221_3750043832001,Sat 21 November 2009 06:15 AM,US_healthcare_reform,SignalSgtWilliams
90477497,FALSE,3,7/27/2011 5:54,For,0.6736,,40,672198221_3750043832001,Sat 21 November 2009 06:17 AM,US_healthcare_reform,SignalSgtWilliams
90477498,FALSE,3,7/27/2011 7:41,Against,1,,41,672198221_3750043832001,Sat 21 November 2009 06:45 AM,US_healthcare_reform,stec74
90477499,FALSE,3,7/27/2011 6:37,Against,0.6317,,42,672198221_3750043832001,Sat 21 November 2009 07:18 AM,US_healthcare_reform,jack_flats
90477500,FALSE,4,7/27/2011 6:35,For,0.5389,,43,672198221_3750043832001,Sat 21 November 2009 07:52 AM,US_healthcare_reform,stec74
90477501,FALSE,3,7/27/2011 7:34,Against,1,,44,672198221_3750043832001,Sat 21 November 2009 09:03 AM,US_healthcare_reform,L0A1
